x_sun,y_sun,z_sun,x_earth,y_earth,z_earth,x_moon,y_moon,z_moon
-2947.41248679084,-81086806250.8829,-80793187354.2538,154245.935818149,123516768418.638,123311879314.59,8.5521986934348,-23304063.0877802,-57128379.7608632
-3636.02314989423,-82521318806.3566,-82194685814.0593,158437.513175321,122582212998.687,122429795710.066,8.54833767545766,-23940901.7258582,-56011211.7870173
-4358.02808269976,-83944738876.5866,-83594033289.5915,162678.69807629,121631290915.073,121535468592.546,8.53462917303768,-24585274.3854616,-54015334.7259373
-5113.99193988958,-85356875261.2138,-84991489257.7094,166969.089626822,120664153503.133,120627447081.25,8.5108289210112,-25235998.9251113,-51230206.3570799
-5904.47437997706,-86757542111.161,-86387013511.1281,171308.280504899,119680954977.46,119704220236.056,8.47669421371936,-25891593.7789205,-47769659.4850999
-6603.57973395492,-87938362145.0989,-87570847847.9884,175032.763586685,118833154093.825,118906931986.891,8.4393948620256,-26451235.8227138,-44388329.4953069
-7328.33713764195,-89110665273.7915,-88752715597.4271,178791.912895027,117973967528.23,118096902744.87,8.3943153505223,-27012222.9468873,-40687174.7214926
-8079.08104123427,-90274345526.5184,-89932178918.3884,182585.467940588,117103490792.476,117273419058.105,8.34130953931139,-27573505.1172537,-36747572.2828073
-8856.14315423233,-91429298959.0271,-91108709446.2848,186413.165015932,116221819516.127,116435844980.579,8.28023212708047,-28134029.4548726,-32651153.16878
-9659.85241470539,-92575423445.3558,-92281706042.0556,190274.737226256,115329049341.187,115583629798.97,8.21093866105331,-28692761.847893,-28478046.2147161
-10490.534958926,-93712618447.057,-93450514368.5401,194169.914520426,114425275850.834,114716312985.271,8.13328554865884,-29248707.4218488,-24305214.8921293
-11348.5140913678,-94840784876.9013,-94614438776.8005,198098.4237222,113510594634.978,113833518023.403,8.04713007046384,-29800914.5927553,-20206128.2817663
-12234.1102550984,-95959825011.9906,-95772750170.4277,202059.98856185,112585101323.62,112934948843.533,7.95233039477791,-30348478.367374,-16250493.2725159
